hours,attendance,marks
485,94,71
486,50,37
487,65,55
488,88,78
489,54,42
490,71,66
491,78,64
492,52,44
493,61,49
494,75,55
495,65,58
496,100,93
497,86,73
498,71,52
499,78,71
500,63,47
501,77,60
502,54,47
503,96,82
504,98,78
505,79,66
506,95,84
507,54,52
508,61,60
509,65,66
510,75,69
511,75,64
512,97,87
513,70,63
514,88,78
515,85,74
516,82,66
517,79,63
518,86,73
519,72,63
520,59,49
521,54,50
522,85,83
523,83,62
524,80,72
525,59,52
526,68,61
527,81,67
528,50,44
529,54,49
530,94,78
531,53,40
532,65,56
533,73,56
534,65,60
535,51,36
536,98,88
537,77,69
538,81,72
539,76,55
540,69,58
541,73,69
542,61,51
543,99,79
544,84,69
545,82,70
546,82,66
547,100,91
548,92,78
549,86,71
550,61,47
551,52,49
552,50,47
553,82,67
554,89,65
555,59,54
556,92,78
557,93,81
558,78,77
559,62,55
560,61,51
561,80,63
562,95,80
563,51,47
564,100,85
565,99,93
566,84,75
567,72,62
568,66,54
569,75,67
570,57,46
571,78,69
572,75,68
573,59,51
574,75,62
575,83,61
576,100,91
577,90,79
578,56,52
579,53,40
580,99,91
581,94,78
582,60,52
583,78,62
584,85,64
585,74,70
586,70,68
587,85,73
588,59,49
589,86,72
590,58,50
591,73,58
592,84,71
593,98,85
594,84,78
595,97,83
596,85,66
597,67,61
598,98,83
599,88,83
600,81,77
601,73,71
602,72,60
603,81,80
604,86,76
605,61,62
606,98,81
607,62,54
608,72,65
609,74,66
610,84,79
611,90,76
612,79,75
613,66,62
614,98,83
615,69,64
616,97,81
617,74,77
618,71,49
619,62,59
620,68,51
621,98,83
622,85,73
623,61,62
624,90,74
625,68,67
626,61,49
627,58,59
628,56,48
629,77,68
630,63,55
631,80,76
632,68,66
633,96,85
634,65,52
635,54,45
636,84,68
637,61,43
638,74,71
639,70,60
640,85,72
641,72,71
642,65,56
643,88,72
644,94,80
645,91,73
646,88,78
647,63,55
648,80,67
649,54,46
650,84,73
651,72,64
652,78,66
653,92,78
654,60,54
655,67,59
656,96,83
657,61,51
658,58,58
659,59,54
660,93,78
661,66,61
662,87,75
663,56,42
664,95,84
665,62,51
666,89,82
667,91,78
668,58,56
669,99,82
670,76,67
671,51,53
672,54,48
673,78,66
674,86,78
675,87,79
676,68,58
677,57,42
678,97,81
679,94,85
680,50,42
681,71,63
682,66,56
683,56,41
684,74,62
685,94,85
686,53,37
687,85,76
688,55,44
689,80,73
690,68,64
691,93,80
692,88,76
693,76,63
694,59,47
695,75,75
696,68,57
697,88,85
698,52,44
699,94,84
700,62,50
701,99,88
702,77,66
703,69,60
704,77,71
705,57,50
706,90,71
707,88,81
708,50,41
709,52,51
710,62,61
711,77,66
712,98,91
713,74,68
714,82,69
715,87,83
716,55,45
717,93,79
718,94,81
719,81,75
720,94,87
721,96,89
722,70,64
723,65,57
724,70,54
725,60,48
726,86,84
727,85,66
728,84,70
729,68,67
730,69,63
731,67,65
732,96,86
733,90,86
734,98,87
735,63,61
736,64,54
737,80,74
738,50,45
739,52,46
740,65,63
741,72,69
742,60,63
743,61,64
744,59,59
745,81,63
746,65,68
747,57,57
748,87,73
749,61,59
750,73,60
751,77,72
752,57,46
753,77,65
754,85,79
755,75,72
756,57,54
757,99,85
758,77,58
759,77,68
760,86,79
761,90,78
762,85,75
763,76,67
764,66,58
765,58,54
766,82,71
767,69,70
768,62,46
769,77,66
770,97,80
771,78,71
772,62,57
773,95,91
774,84,84
775,55,47
776,67,61
777,100,88
778,54,46
779,96,87
780,74,65
781,51,43
782,59,53
783,79,66
784,99,92
785,94,92
786,54,52
787,82,74
788,50,48
789,67,67
790,81,78
791,96,84
792,98,87
793,60,59
794,70,58
795,75,74
796,74,75
797,71,70
798,76,62
799,98,76
800,62,61
801,82,69
802,83,75
803,90,87
804,84,71
805,50,46
806,70,65
807,97,79
808,55,48
809,77,69
810,66,59
811,54,54
812,80,85
813,54,51
814,87,73
815,52,56
816,72,57
817,86,70
818,86,74
819,59,53
820,59,52
821,68,62
822,66,62
823,70,69
824,63,59
825,58,51
826,95,89
827,50,44
828,100,80
829,94,89
830,62,63
831,53,46
832,50,46
833,98,82
834,89,81
835,81,81
836,83,78
837,77,75
838,80,76
839,57,53
840,88,84
841,75,72
842,83,82
843,52,47
844,99,78
845,61,62
846,50,50
847,93,81
848,54,50
849,79,84
850,79,68
851,66,57
852,97,86
853,96,91
854,72,77
855,64,63
856,86,71
857,70,74
858,63,58
859,51,45
860,60,51
861,100,92
862,88,80
863,87,79
864,83,81
865,87,74
866,99,94
867,83,72
868,67,73
869,79,74
870,64,55
871,76,59
872,100,92
873,83,73
874,87,77
875,82,78
876,73,72
877,64,66
878,79,66
879,91,88
880,100,85
881,66,50
882,54,46
883,78,72
884,53,46
885,59,55
886,66,63
887,59,55
888,66,59
889,69,57
890,73,67
891,54,41
892,83,71
893,55,48
894,51,48
895,62,57
896,92,87
897,92,90
898,97,80
899,60,66
900,100,85
901,96,86
902,72,69
903,65,73
904,80,70
905,60,48
906,65,68
907,57,50
908,53,49
909,89,74
910,53,49
911,74,64
912,52,54
913,81,74
914,52,47
915,76,74
916,78,72
917,81,64
918,99,92
919,100,90
920,68,70
921,70,65
922,54,48
923,67,61
924,77,74
925,91,78
926,71,63
927,70,64
928,55,47
929,50,45
930,54,53
931,90,87
932,61,59
933,75,69
934,95,81
935,83,81
936,98,89
937,63,56
938,75,73
939,94,87
940,76,66
941,58,55
942,75,66
943,96,99
944,71,68
945,96,87
946,79,75
947,92,89
948,97,86
949,66,59
950,75,73
951,85,76
952,50,44
953,57,48
954,98,95
955,84,77
956,64,57
957,96,85
958,71,70
959,63,58
960,75,62
961,77,72
962,72,73
963,63,65
964,73,65
965,51,56
966,94,85
967,75,75
968,63,62
969,100,82
970,56,63
971,52,51
972,96,89
973,72,60
974,95,88
975,92,88
976,96,96
977,94,91
978,67,66
979,87,71
980,84,77
981,100,86
982,64,62
983,74,62
984,86,77
985,77,68
986,59,54
987,88,77
988,66,62
989,88,81
990,71,54
991,75,58
992,93,82
993,74,68
994,66,63
995,62,55
996,69,65
997,74,69
998,53,48
999,59,62
1000,52,52
1001,90,84
1002,94,85
1003,67,74
1004,96,89
1005,85,75
1006,96,90
1007,71,58
1008,83,77
1009,96,88
1010,57,56
1011,89,79
1012,98,83
1013,93,80
1014,68,65
1015,91,77
1016,90,91
1017,86,65
1018,55,52
1019,75,70
1020,83,79
1021,94,80
1022,55,59
1023,86,72
1024,82,73
1025,71,70
1026,70,71
1027,55,47
1028,55,67
1029,97,83
1030,53,46
1031,79,76
1032,60,56
1033,79,71
1034,80,77
1035,73,61
1036,58,48
1037,52,48
1038,100,95
1039,80,71
1040,89,89
1041,86,85
1042,85,79
1043,73,70
1044,80,75
1045,55,55
1046,51,49
1047,69,64
1048,77,66
1049,60,47
1050,53,58
1051,64,62
1052,55,54
1053,98,90
1054,79,69
1055,87,75
1056,100,89
1057,51,58
1058,64,55
1059,60,45
1060,57,53
1061,75,76
1062,100,81
1063,94,79
1064,93,86
1065,54,66
1066,55,47
1067,75,63
1068,53,54
1069,68,71
1070,69,62
1071,82,68
1072,69,68
1073,98,92
1074,61,68
1075,96,90
1076,50,54
1077,75,69
1078,63,73
1079,87,78
1080,86,76
1081,60,67
1082,85,71
1083,62,51
1084,92,85
1085,52,52
1086,82,75
1087,55,59
1088,99,85
1089,59,58
1090,54,52
1091,72,64
1092,59,57
1093,93,89
1094,51,62
1095,62,63
1096,89,69
1097,51,51
1098,69,66
1099,50,55
1100,86,80
1101,58,63
1102,66,65
1103,58,65
1104,60,56
1105,64,62
1106,73,73
1107,87,77
1108,84,74
1109,79,71
1110,80,71
1111,98,92
1112,54,45
1113,93,77
1114,99,99
1115,63,57
1116,60,60
1117,58,50
1118,83,78
1119,61,56
1120,84,70
1121,84,85
1122,50,57
1123,89,81
1124,71,73
1125,78,83
1126,57,60
1127,60,61
1128,90,84
1129,86,83
1130,63,59
1131,79,73
1132,84,80
1133,70,64
1134,86,78
1135,54,54
1136,68,71
1137,63,56
1138,75,75
1139,53,57
1140,74,74
1141,94,82
1142,91,75
1143,74,73
1144,67,65
1145,89,87
1146,57,53
1147,88,85
1148,89,87
1149,63,61
1150,81,78
1151,100,93
1152,87,77
1153,82,79
1154,72,77
1155,64,62
1156,82,69
1157,74,67
1158,66,55
1159,82,83
1160,96,92
1161,51,49
1162,63,54
1163,89,78
1164,89,79
1165,100,92
1166,88,82
1167,100,98
1168,55,52
1169,55,48
1170,52,47
1171,56,56
1172,100,88
1173,57,55
1174,91,82
1175,64,67
1176,96,85
1177,78,72
1178,82,80
1179,79,72
1180,88,84
1181,76,74
1182,85,80
1183,78,68
1184,87,87
1185,82,88
1186,86,80
1187,76,67
1188,82,77
1189,53,59
1190,71,65
1191,51,52
1192,59,60
1193,54,61
1194,59,63
1195,82,81
1196,87,79
1197,62,63
1198,80,72
1199,96,93
1200,85,85
1201,94,89
1202,73,68
1203,64,62
1204,78,83
1205,57,55
1206,54,60
1207,78,76
1208,96,87
1209,53,47
1210,61,61
1211,94,87
1212,51,61
1213,76,68
1214,80,87
1215,100,94
1216,100,94
1217,85,77
1218,85,81
1219,75,74
1220,92,90
1221,76,68
1222,54,62
1223,69,69
1224,60,63
1225,59,58
1226,89,78
1227,87,82
1228,55,57
1229,57,50
1230,72,73
1231,96,94
1232,75,68
1233,95,83
1234,92,84
1235,61,61
1236,75,71
1237,62,61
1238,89,84
1239,67,59
1240,74,65
1241,82,64
1242,96,93
1243,89,83
1244,92,91
1245,61,55
1246,93,86
1247,85,81
1248,97,87
1249,53,47
1250,54,64
1251,86,88
1252,57,56
1253,91,87
1254,98,88
1255,77,69
1256,80,85
1257,58,50
1258,100,91
1259,78,75
1260,63,71
1261,89,88
1262,90,76
1263,71,69
1264,60,60
1265,72,69
1266,50,55
1267,95,81
1268,86,79
1269,70,71
1270,75,76
1271,95,89
1272,85,79
1273,72,69
1274,50,56
1275,100,92
1276,89,78
1277,64,57
1278,70,61
1279,96,96
1280,58,63
1281,58,58
1282,59,57
1283,75,69
1284,90,90
1285,84,89
1286,74,69
1287,75,78
1288,60,61
1289,87,81
1290,51,61
1291,56,57
1292,67,68
1293,76,74
1294,83,71
1295,76,75
1296,66,62
1297,92,79
1298,93,84
1299,100,90
1300,73,76
1301,74,66
1302,56,53
1303,55,58
1304,73,64
1305,82,75
1306,98,83
1307,78,80
1308,92,85
1309,71,69
1310,75,77
1311,77,71
1312,99,90
1313,70,63
1314,98,86
1315,56,53
1316,66,63
1317,69,66
1318,90,86
1319,98,87
1320,69,69
1321,71,72
1322,77,72
1323,89,80
1324,98,92
1325,56,57
1326,50,54
1327,81,85
1328,62,63
1329,79,73
1330,72,66
1331,100,89
1332,68,60
1333,81,82
1334,79,65
1335,78,78
1336,98,87
1337,94,86
1338,78,71
1339,79,83
1340,65,65
1341,89,88
1342,68,74
1343,67,67
1344,50,47
1345,63,62
1346,100,89
1347,96,87
1348,99,92
1349,51,53
1350,77,77
1351,98,94
1352,99,92
1353,79,78
1354,87,80
1355,100,100
1356,53,53
1357,50,59
1358,57,51
1359,78,74
1360,88,82
1361,52,56
1362,81,82
1363,59,54
1364,59,55
1365,68,61
1366,95,96
1367,83,81
1368,82,73
1369,72,69
1370,77,81
1371,81,77
1372,99,91
1373,56,54
1374,78,71
1375,57,65
1376,50,62
1377,52,50
1378,73,79
1379,72,68
1380,57,62
1381,96,97
1382,86,81
1383,52,53
1384,100,97
1385,82,73
1386,77,81
1387,96,91
1388,57,56
1389,83,77
1390,84,74
1391,81,76
1392,73,70
1393,63,59
1394,81,78
1395,95,92
1396,92,86
1397,65,69
1398,53,52
1399,86,87
1400,70,70
1401,63,72
1402,80,90
1403,97,89
1404,67,65
1405,56,57
1406,59,64
1407,56,65
1408,82,76
1409,72,73
1410,70,69
1411,68,71
1412,97,99
1413,68,67
1414,85,73
1415,78,80
1416,67,63
1417,51,54
1418,50,58
1419,96,92
1420,54,56
1421,69,66
1422,60,47
1423,91,90
1424,51,53
1425,52,63
1426,72,73
1427,61,60
1428,69,74
1429,54,63
1430,86,82
1431,87,89
1432,79,74
1433,58,61
1434,83,83
1435,93,92
1436,84,84
1437,71,69
1438,93,94
1439,73,72
1440,66,64
1441,59,58
1442,79,87
1443,95,86
1444,72,78
1445,81,73
1446,66,69
1447,99,95
1448,100,100
1449,66,64
1450,63,60
1451,58,60
1452,89,94
1453,51,50
1454,94,76
1455,74,74
1456,88,89
1457,58,55
1458,71,75
1459,92,83
1460,95,89
1461,53,60
1462,75,68
1463,78,77
1464,94,95
1465,83,83
1466,72,68
1467,86,91
1468,60,65
1469,55,49
1470,67,72
1471,70,67
1472,91,88
1473,85,87
1474,90,83
1475,87,76
1476,83,88
1477,66,73
1478,86,83
1479,74,78
1480,87,82
1481,61,64
1482,72,71
1483,91,85
1484,71,73
1485,70,64
1486,76,74
1487,80,80
1488,55,68
1489,76,69
1490,89,88
1491,83,84
1492,61,54
1493,94,92
1494,56,64
1495,59,65
1496,94,89
1497,66,69
1498,75,75
1499,70,62
1500,77,77
1501,95,89
1502,51,52
1503,92,100
1504,50,61
1505,100,89
1506,85,84
1507,100,100
1508,75,67
1509,78,77
1510,70,71
1511,60,56
1512,89,88
1513,60,68
1514,85,90
1515,98,92
1516,88,98
1517,89,76
1518,84,84
1519,83,74
1520,96,92
1521,73,71
1522,71,74
1523,54,57
1524,82,76
1525,85,79
1526,96,100
1527,69,72
1528,68,61
1529,84,85
1530,92,87
1531,66,68
1532,94,94
1533,92,94
1534,83,77
1535,58,61
1536,75,72
1537,51,59
1538,58,60
1539,58,61
1540,89,85
1541,66,67
1542,50,63
1543,74,86
1544,92,90
1545,89,86
1546,91,80
1547,74,70
1548,88,85
1549,84,79
1550,52,54
1551,99,100
1552,86,84
1553,93,90
1554,93,86
1555,100,100
1556,79,77
1557,87,82
1558,83,74
1559,61,64
1560,68,67
1561,86,92
1562,93,99
1563,98,87
1564,66,62
1565,59,61
1566,98,89
1567,96,93
1568,61,62
1569,65,69
1570,73,79
1571,68,64
1572,57,66
1573,80,76
1574,70,82
1575,66,76
1576,72,72
1577,86,79
1578,65,62
1579,55,64
1580,57,61
1581,74,79
1582,67,80
1583,74,71
1584,61,58
1585,64,68
1586,75,81
1587,90,83
1588,94,91
1589,75,82
1590,96,84
1591,81,81
1592,59,60
1593,65,68
1594,56,64
1595,66,69
1596,72,68
1597,75,73
1598,70,79
1599,71,74
1600,56,65
1601,63,67
1602,64,71
1603,56,58
1604,58,58
1605,100,99
1606,97,99
1607,57,57
1608,99,92
1609,72,72
1610,78,86
1611,67,72
1612,80,73
1613,79,78
1614,88,85
1615,84,77
1616,67,69
1617,91,87
1618,88,84
1619,66,66
1620,63,73
1621,80,78
1622,73,74
1623,84,83
1624,93,88
1625,94,91
1626,83,82
1627,52,58
1628,86,80
1629,92,88
1630,89,91
1631,75,75
1632,72,74
1633,93,91
1634,88,88
1635,64,70
1636,98,93
1637,53,54
1638,78,72
1639,71,78
1640,74,79
1641,62,69
1642,67,74
1643,82,81
1644,65,65
1645,94,86
1646,91,83
1647,93,96
1648,51,54
1649,84,88
1650,91,88
1651,83,79
1652,79,74
1653,62,63
1654,62,73
1655,67,64
1656,81,91
1657,81,77
1658,84,87
1659,88,86
1660,95,90
1661,78,72
1662,98,94
1663,78,73
1664,93,82
1665,65,69
1666,93,87
1667,96,100
1668,59,68
1669,79,88
1670,74,72
1671,88,87
1672,69,58
1673,54,58
1674,50,57
1675,79,80
1676,98,94
1677,52,58
1678,94,78
1679,63,68
1680,79,82
1681,99,100
1682,53,61
1683,67,69
1684,86,91
1685,74,64
1686,97,91
1687,50,53
1688,95,92
1689,64,57
1690,58,69
1691,64,66
1692,98,96
1693,73,76
1694,53,65
1695,61,56
1696,86,86
1697,86,91
1698,92,90
1699,55,56
1700,88,84
1701,95,91
1702,73,71
1703,60,64
1704,62,74
1705,83,80
1706,74,73
1707,56,64
1708,53,58
1709,57,56
1710,69,71
1711,78,79
1712,100,100
1713,94,87
1714,95,98
1715,59,63
1716,92,85
1717,83,77
1718,75,86
1719,90,88
1720,98,100
1721,52,50
1722,55,74
1723,54,64
1724,54,59
1725,96,92
1726,72,78
1727,98,99
1728,58,64
1729,84,84
1730,69,75
1731,98,87
1732,91,88
1733,84,76
1734,99,99
1735,67,67
1736,66,62
1737,73,71
1738,52,59
1739,81,81
1740,84,78
1741,87,78
1742,62,67
1743,96,91
1744,74,75
1745,58,63
1746,53,62
1747,63,72
1748,86,87
1749,83,82
1750,60,65
1751,90,87
1752,52,50
1753,77,84
1754,78,84
1755,58,73
1756,52,70
1757,74,70
1758,83,82
1759,61,78
1760,91,90
1761,58,65
1762,64,61
1763,89,89
1764,74,86
1765,54,67
1766,60,62
1767,83,82
1768,73,70
1769,64,64
1770,87,77
1771,57,62
1772,54,68
1773,97,97
1774,75,84
1775,67,76
1776,55,59
1777,86,82
1778,97,91
1779,62,58
1780,77,79
1781,54,46
1782,62,70
1783,66,70
1784,99,99
1785,89,94
1786,94,94
1787,81,90
1788,78,83
1789,100,94
1790,52,58
1791,89,77
1792,83,79
1793,89,87
1794,76,81
1795,62,63
1796,94,86
1797,82,74
1798,55,58
1799,73,86
1800,68,73
1801,65,74
1802,89,84
1803,77,71
1804,82,77
1805,97,95
1806,90,80
1807,62,62
1808,92,88
1809,94,86
1810,74,66
1811,91,92
1812,85,86
1813,76,82
1814,87,82
1815,56,66
1816,54,69
1817,92,93
1818,94,90
1819,100,98
1820,80,78
1821,72,71
1822,91,94
1823,59,64
1824,81,89
1825,92,89
1826,79,79
1827,88,85
1828,80,76
1829,67,75
1830,85,97
1831,51,57
1832,63,65
1833,62,64
1834,78,77
1835,61,75
1836,88,85
1837,51,56
1838,81,76
1839,62,69
1840,95,94
1841,76,73
1842,98,92
1843,90,98
1844,66,71
1845,89,90
1846,80,82
1847,83,91
1848,73,71
1849,94,91
1850,84,84
1851,97,87
1852,55,57
1853,68,78
1854,79,85
1855,56,68
1856,59,62
1857,90,88
1858,81,74
1859,83,89
1860,77,85
1861,64,75
1862,79,89
1863,86,89
1864,78,88
1865,71,74
1866,53,52
1867,69,78
1868,81,74
1869,85,87
1870,99,100
1871,53,62
1872,76,90
1873,66,61
1874,61,67
1875,71,75
1876,66,64
1877,59,60
1878,50,54
1879,71,70
1880,75,78
1881,67,69
1882,99,99
1883,63,72
1884,96,98
1885,78,79
1886,61,69
1887,85,92
1888,84,88
1889,61,76
1890,56,68
1891,78,89
1892,60,54
1893,82,85
1894,55,61
1895,96,95
1896,64,66
1897,81,85
1898,100,89
1899,60,69
1900,72,72
1901,75,76
1902,83,87
1903,95,95
1904,83,90
1905,78,76
1906,53,61
1907,66,76
1908,84,88
1909,62,70
1910,90,96
1911,88,87
1912,64,67
1913,78,84
1914,78,80
1915,60,72
1916,81,85
1917,51,56
1918,96,97
1919,63,65
1920,69,79
1921,71,69
1922,60,73
1923,76,81
1924,52,60
1925,66,75
1926,93,96
1927,77,87
1928,78,88
1929,70,77
1930,96,91
1931,65,68
1932,86,87
1933,69,79
1934,55,61
1935,68,71
1936,54,71
1937,52,60
1938,50,56
1939,87,92
1940,64,70
1941,83,78
1942,84,91
1943,98,94
1944,74,78
1945,73,77
1946,61,69
1947,67,62
1948,64,69
1949,93,99
1950,65,77
1951,76,75
1952,57,69
1953,95,91
1954,74,76
1955,66,70
1956,78,82
1957,57,70
1958,64,72
1959,76,79
1960,95,100
1961,99,94
1962,56,64
1963,52,66
1964,78,84
1965,93,91
1966,73,70
1967,52,62
1968,69,66
1969,95,94
1970,64,76
1971,74,81
1972,79,72
1973,63,71
1974,56,62
1975,66,66
1976,93,95
1977,69,72
1978,85,85
1979,58,66
1980,87,86
1981,97,97
1982,71,73
1983,51,57
1984,73,83
1985,57,70
1986,60,59
1987,62,73
1988,66,79
1989,57,73
1990,70,78
1991,67,68
1992,79,86
1993,67,69
1994,95,94
1995,96,98
1996,80,79
1997,87,83
1998,81,87
1999,60,77
2000,94,100
2001,74,82
2002,82,90
2003,87,92
2004,90,94
2005,57,70
2006,60,61
2007,71,77
2008,100,99
2009,73,78
2010,90,89
2011,66,75
2012,61,64
2013,95,93
2014,81,81
2015,64,75
2016,65,72
2017,71,74
2018,77,79
2019,69,75
2020,82,93
2021,59,61
2022,89,94
2023,81,87
2024,99,95
2025,82,93
2026,51,63
2027,82,83
2028,82,76
2029,90,93
2030,62,69
2031,79,78
2032,82,80
2033,62,74
2034,75,70
2035,71,78
2036,88,89
2037,51,63
2038,87,88
2039,88,92
2040,75,76
2041,95,96
2042,99,100
2043,64,72
2044,83,88
2045,91,88
2046,93,91
2047,98,96
2048,89,90
2049,60,75
2050,52,60
2051,55,58
2052,58,69
2053,55,71
2054,58,60
2055,88,100
2056,80,86
2057,81,90
2058,90,99
2059,99,100
2060,61,68
2061,57,72
2062,57,67
2063,99,100
2064,77,88
2065,69,70
2066,96,100
2067,56,64
2068,60,69
2069,69,76
2070,65,73
2071,53,70
2072,55,57
2073,71,68
2074,75,71
2075,52,67
2076,90,88
2077,91,94
2078,63,70
2079,60,64
2080,67,78
2081,61,68
2082,72,77
2083,61,70
2084,62,74
2085,74,75
2086,94,100
2087,100,100
2088,68,68
2089,95,98
2090,85,87
2091,94,99
2092,57,60
2093,78,91
2094,81,77
2095,100,99
2096,93,97
2097,67,71
2098,55,60
2099,67,75
2100,68,75
2101,71,77
2102,86,94
2103,81,83
2104,90,94
2105,52,60
2106,77,78
2107,59,66
2108,100,98
2109,84,86
2110,78,89
2111,64,71
2112,82,83
2113,56,66
2114,61,70
2115,98,93
2116,79,82
2117,70,75
2118,80,84
2119,73,83
2120,69,77
2121,86,96
2122,53,63
2123,77,91
2124,93,93
2125,69,72
2126,73,82
2127,99,100
2128,98,92
2129,100,100
2130,81,83
2131,90,94
2132,85,89
2133,83,94
2134,85,88
2135,51,69
2136,64,70
2137,83,92
2138,85,90
2139,55,74
